Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BALL,BAX,BBWI,BBY,BDX,BG,BIIB,BIO,BK,BKNG,BKR,BLK,BMY,BR,BRO,BSX,BWA,BXP,CAH,CARR,CAT,CBOE,CBRE,CCL,CDAY,CDNS,CDW,CE,CF,CHRW,CNC,CNP,COF,CPB,CPT,CTLT,CZR,GOOG,GOOGL,KMX,LNT,MMM,MO,T,TECH,WRB
2023-03-24,1571600,19871300,2009800,59196500,4678700,1179800,5269100,1661800,4123600,2993400,3401800,2329500,1720500,1403800,1159500,2527200,3925000,2163600,6564500,387200,1010700,1210500,1588200,994100,2589400,2893000,877500,6354500,6141500,64712400,1053900,2547300,920000,1897500,56095400,2500200,357000,895900,875800,6961400,1329500,2207900,2772200,1712900,945300,24508300,679900,1722800,537200,837600,2588700,148500,4511600,96872700,1442800,7628700,3505900,1604000,910600,1370900,973400,138400,5972900,329600,7614500,574100,6274900,1051500,929000,10069300,2322000,3704300,1994700,5157600,2976800,596100,3763700,45523800,591900,2302500,580600,2070000,3389800,892300,2921800,3585600,3069100,1817800,979200,1377100,2792300,25236200,30393300,3122600,1406400,3552900,10444800,32058000,825400,1080700
2023-03-27,1216300,17126700,1731600,52390300,3887800,814700,4627700,1861500,3743800,2832200,3616900,2406500,1627100,1580700,941100,1919000,5489200,2321100,8219100,440200,915900,1416300,2045000,700300,1619600,1771400,851100,4628200,5244600,57461400,784300,2129100,710000,2389800,46721300,1942700,632800,726300,928200,7023400,1078500,2383700,2193400,1192100,533500,7290600,803100,1470700,366700,861200,3984300,220000,3891700,102469800,1418600,5650400,4709100,2021900,880700,1322000,607800,150400,5272100,246400,7690500,411100,6711300,771100,862700,5754200,1966500,2403200,2212000,3387200,3209500,712000,1845900,93540200,568300,1400300,768200,927900,2879600,544100,2607900,3213200,2466900,1638500,791500,2023000,3438500,25393400,31120900,2544300,1883400,2797400,9624200,26650500,636300,1248800
2023-03-28,942600,11553000,1048000,45992200,3532500,852800,4815400,1056100,2869400,1780800,3319900,2037000,1130100,1463000,871500,2158900,3687500,1667400,5140700,509400,628500,953100,1817500,616700,1577000,1585200,987900,5523800,3733700,59150100,673900,1887800,648300,1480200,38720100,3792400,576400,573500,895800,4842000,743400,2300600,1292600,989600,584200,5447100,805300,1243900,305000,675500,4883700,139900,5460600,63416500,1009300,2860400,3969000,2022300,563100,1319000,560300,98300,3567500,235800,9917300,373300,4715100,418200,789000,7820000,1973900,2341200,2623400,2276400,1802000,905200,1711000,72930100,791200,1180800,955400,535300,1744300,711100,3284600,2276500,1941700,1336000,684500,983700,1869500,24913500,32057900,1328900,1627900,2462800,8796700,21547200,504800,1112400
2023-03-29,1002800,15907000,1371500,51305700,3959900,638100,6780200,1304300,2431500,2497600,3577800,2011800,1724400,1206600,1278400,3185900,4271000,1682800,5201600,469000,653600,1625500,1373900,499900,2122000,2263500,625500,7865300,7749100,55326000,799200,2744000,511100,1784100,49783300,3505600,360500,507000,817400,7361000,751800,2219000,1934100,1096000,577000,6681600,814500,2639500,406200,608800,3884800,167100,3572200,62666400,1286200,4161700,3869500,2027000,757800,1430400,772900,89500,6486600,236700,11312700,589300,5369900,444400,819700,9333100,1694800,2905100,3158100,3278300,1857300,579500,2539800,55593500,809300,1184900,585900,845300,2876100,694700,2874500,4334100,2629800,1649500,885300,553800,2117300,26148300,28779600,1318400,1318900,3221600,7530500,23149400,518600,1306000
2023-03-30,1468200,13673500,1368700,49501700,3635800,495100,5199300,1315200,2293600,2139000,4367100,2526000,1408600,1072900,1515800,3617600,5041500,1905000,5933600,490900,921600,1108000,1294000,565900,1750200,1324100,460000,6213800,4744100,59678500,585200,2577000,446300,1477800,53633400,2918300,453900,517100,930200,6746500,808600,2655300,1379100,1119700,690400,5053000,520700,2152300,298400,766900,2644800,132300,6583400,67427100,1002100,4395800,4362100,1588300,684400,1337400,714000,115700,5727900,265400,10210400,392300,4400100,473800,878000,8146400,1595000,3289500,1696300,4046900,1921100,468800,1606500,46584200,821400,1629700,695400,729100,2188700,657000,4290700,2187400,3410900,1902200,672300,1223400,2204600,25009800,33086200,1911600,1203500,2349700,6862400,19736300,487900,843600
2023-03-31,2579800,12348700,1029200,68749800,4957300,1310300,6442400,2787600,3009300,3063400,3873000,3416600,1782800,1871100,1251700,2210600,4311000,2709800,5071600,476200,935600,1406400,1835400,1215100,1288600,1901100,726500,5016500,6976800,55861100,1159700,2762500,511800,2558000,56750300,3030400,726600,606700,973100,6416300,1487400,2673700,2585000,1307200,1245300,5235100,1381400,2209700,420800,1060700,3594300,186700,5147500,56482100,1101900,4620100,2979300,2621800,1107500,1290300,1197000,143000,5195600,365800,7258500,516300,8953200,578600,852600,11585700,1393600,2803700,2318300,4795800,2746700,572700,2348000,37314300,1744000,2104000,945100,720400,2596800,1117200,5973800,3914700,2533900,1979700,902100,1069900,2783800,28108000,36863400,2080400,1495400,3611500,7711500,27130900,596700,2116700
2023-04-03,1551800,14317400,1476200,56976200,4389400,1024300,5432400,1773800,2417300,2712600,3120700,2094500,2592000,1472600,1370700,2926200,3467700,2457300,4324800,462800,1001400,1255900,1507600,645900,2321000,2381600,859900,5146800,8741700,50655300,1104500,2478700,399000,2876200,41135700,3217700,456300,1135200,860100,9725600,1173700,2680200,1927000,922400,645500,6474700,1225000,1568200,433600,583200,2704400,207100,6085900,51996800,1384500,6032200,3429600,2220800,1027300,1067800,772800,146000,4744500,223100,8779400,622800,7333900,472200,1115600,11372800,1733100,1895700,1786800,4055300,2242500,436300,2215300,39031900,1627200,1603400,738300,881900,3085800,996400,4837600,2707400,2060300,1858000,984600,1708200,2550500,20719900,25035400,1797500,2133200,4017300,8385800,31102500,790700,1657200
2023-04-04,1778700,16124100,900600,46278300,4224400,847000,7979000,2639700,2331700,2569800,3633600,1962600,2384900,1300700,1038100,3146900,2781400,1915400,3905400,432700,787200,1040800,2212500,489900,2071300,1421900,1311700,4772200,7746200,43195900,964400,2942800,523900,3431500,48662500,1522900,423200,908800,1165000,8775300,1256600,2955600,1696800,715700,839900,7712700,1206100,1342900,436400,818300,2063500,120700,6192300,56233300,1914700,8661300,2961600,2178300,1000500,1571600,579200,116100,3070300,260700,4840600,525100,8626700,502500,1020000,9726900,2441500,1920000,2624300,7067600,4282100,559700,2422500,38016300,1392000,1228700,627700,1241600,2136400,1039800,3497000,2262000,2927200,1885100,608500,1435100,2710300,20377200,24420100,2024200,1973800,3473300,7379600,34207600,833600,847200
2023-04-05,2312100,19213300,896500,51511700,5743000,1451300,7298300,1790200,2443200,2277200,3368300,2281500,2223900,1518000,1591200,4232600,3539500,2229900,3467900,524900,882700,1425900,4657500,526500,1838500,1396600,1318900,6691700,9792300,52979300,1605900,2468000,736300,2060200,45175400,2147400,422000,738700,1698900,6756200,943800,2337300,1287500,895400,907000,7539100,1099900,1690800,456400,905600,2346800,159500,4138400,47799400,1691000,11518600,3496600,2529900,853900,1774700,1008200,80100,3473700,260900,5246700,426100,7739000,594600,1071000,7175400,2038000,2041200,2948800,6323100,4265300,493700,2099000,25510600,1141300,1455100,634000,798900,3212100,1116300,4090500,4321500,2853800,2138500,503200,1471200,3454000,21864200,28290500,1871800,1606500,2652000,7865800,38673200,1054600,1079100
2023-04-06,1206200,14067000,1029800,45390100,5498300,870200,5065000,1979200,2125300,1835900,3010100,2413900,1966600,1174500,1543800,2991500,4738900,2355700,3439200,420100,895000,1079200,2014400,613000,1674100,1414500,836800,6275000,9398300,47778400,1175800,2047800,430800,1273300,43808000,2677300,421800,465800,1159100,5085000,869200,1816200,1648400,604200,903600,6623800,544600,1449300,497500,1059300,3754500,142700,5618100,41216600,1931100,4393700,2805700,1791300,1369800,1528400,737100,95600,3207300,272700,4583200,441700,9669500,784900,799100,9622900,2041200,1351900,1855300,4861900,4180100,538300,1432400,28095400,672300,1885700,545200,690000,2295800,868000,3807000,4792100,2045900,1532900,342100,1854500,2109800,34684200,48711500,1671100,1518100,2419200,6337200,29722600,1047000,1311100
2023-04-10,1104600,18832300,918700,47716900,3309500,641400,4900200,1581200,1575900,1689700,2573500,2108600,1181400,1075100,1592300,1977400,5365700,1784900,2933400,295800,800900,1551100,2008200,555100,1279300,989500,526000,4096500,7314600,52536300,924300,1595600,371400,1728800,37261200,1483000,407000,544400,734300,5791900,768400,1821100,1107800,777800,962500,4949000,842000,1540000,385400,925600,2372600,171300,3729300,40572700,1711600,7271400,3932300,2074100,814000,841100,475800,107200,3621200,205800,2904900,393800,5646400,431400,801900,5185700,1387300,1885300,1658400,2859500,3839000,875900,1179000,24047400,586800,2167900,708400,555500,2204600,1114800,3623500,2671300,2421900,1372300,479000,1564300,2497800,19741500,27067400,3867700,1083500,2880200,6197300,23617500,653400,1145200
